,ME,NH,VT,WCMA,NEMA,CT,RI,SEMA,VINE,MFLR1,MFLR2,COMW,PKCTY,CTREV,RIREV
19,1688.856,2380.765,823.118,3277.726,5031.619,5878.696,1664.624,3324.675,0,0,0,0,0,0,0
20,1635.331,2301.858,839.202,3246.783,4909.143,5784.218,1616.488,3235.696,0,0,0,0,0,0,0
21,1578.453,2205.011,833.987,3169.518,4782.578,5587.795,1571.369,3123.919,0,0,0,0,0,0,0
22,1476.67,2043.046,812.808,2989.047,4562.61,5263.549,1489.828,2919.891,0,0,0,0,0,0,0
23,1360.769,1856.03,760.079,2751.165,4242.198,4848.119,1386.192,2664.162,0,0,0,0,0,0,0
24,1263.398,1686.766,704.763,2553,3939.006,4447.437,1282.104,2455.459,0,0,0,0,0,0,0
1,974.508,962.397,483.295,1467.67,2128.511,2552.484,744.795,1293.077,0,0,0,0,0,0,0
2,951.152,918.775,470.182,1403.403,2036.747,2399.554,706.337,1219.836,0,0,0,0,0,0,0
3,922.236,892.611,459.11,1357.392,1977.522,2306.284,678.975,1176.009,0,0,0,0,0,0,0
4,910.402,881.329,451.28,1330.462,1945.33,2251.242,664.826,1152.865,0,0,0,0,0,0,0
5,914.199,885.115,452.739,1326.719,1940.936,2230.874,665.778,1152.299,0,0,0,0,0,0,0
6,946.571,908.237,462.986,1344.746,1975.16,2263.105,661.738,1179.152,0,0,0,0,0,0,0
7,990.221,945.848,482.036,1364.328,2026.176,2326.902,680.695,1214.249,0,0,0,0,0,0,0
8,1064.871,1016.853,474.803,1405.643,2132.826,2431.753,721.882,1273.317,0,0,0,0,0,0,0
9,1133.05,1091.379,412.631,1449.938,2271.257,2588.131,782.845,1320.829,0,0,0,0,0,0,0
10,1172.151,1145.176,353.505,1465.908,2380.252,2698.937,829.874,1348.184,0,0,0,0,0,0,0
11,1178.375,1182.627,297.335,1473.234,2454.6,2767.242,868.979,1373.123,0,0,0,0,0,0,0
12,1189.096,1209.58,271.612,1486.815,2523.676,2831.763,892.873,1401.601,0,0,0,0,0,0,0
13,1179.199,1226.375,294.039,1544.936,2559.55,2946.527,926.104,1417.597,0,0,0,0,0,0,0
14,1198.625,1257.407,305.119,1601.554,2594.525,3089.629,952.866,1469.332,0,0,0,0,0,0,0
15,1207.976,1290.507,342.235,1673.204,2679.919,3245.371,987.993,1576.733,0,0,0,0,0,0,0
16,1237.168,1328.615,384.722,1745.997,2748.779,3455.419,990.655,1684.19,0,0,0,0,0,0,0
17,1289.556,1382.028,453.356,1845.217,2764.233,3569.573,1016.591,1748.394,0,0,0,0,0,0,0
18,1331.698,1411.762,560.904,1951.1,2809.322,3653.133,1005.723,1842.462,0,0,0,0,0,0,0
19,1323.456,1406.106,649.641,1967.748,2794.435,3651.594,979.339,1836.073,0,0,0,0,0,0,0
20,1326.365,1380.484,660.625,1942.561,2761.634,3554.1,958.798,1804.502,0,0,0,0,0,0,0
21,1279.518,1334.933,660.272,1893.385,2688.449,3449.105,932.98,1742.265,0,0,0,0,0,0,0
22,1208.218,1246.588,632.237,1796.004,2574.57,3273.797,885.678,1638.933,0,0,0,0,0,0,0
23,1126.986,1157.456,593.966,1685.845,2435.593,3062.118,836.877,1514.606,0,0,0,0,0,0,0
24,1050.177,1067.16,552.435,1575.27,2297.432,2853.323,779.701,1393.159,0,0,0,0,0,0,0
1,1015.172,926.763,457.12,1383.47,1949.752,2271.353,661.272,1176.541,0,0,0,0,0,0,0
2,982.164,893.616,442.226,1317.695,1865.14,2159.979,631.186,1122.586,0,0,0,0,0,0,0
3,968.594,874.258,433.81,1286.561,1819.589,2096.239,609.984,1093.984,0,0,0,0,0,0,0
4,967.932,872.613,432.219,1274.042,1803.254,2067.928,606.052,1085.117,0,0,0,0,0,0,0
5,999.899,902.785,442.318,1303.738,1839.354,2109.306,620.535,1109.815,0,0,0,0,0,0,0
6,1074.201,987.082,479.134,1406.544,1966.083,2274.655,649.776,1191.162,0,0,0,0,0,0,0
7,1219.789,1118.462,546.973,1570.325,2182.272,2580.027,721.4,1328.394,0,0,0,0,0,0,0
8,1289.125,1200.044,586.214,1664.017,2321.257,2773.337,774.174,1404.005,0,0,0,0,0,0,0
9,1305.439,1229.932,564.477,1642.357,2369.455,2792.911,799.285,1388.443,0,0,0,0,0,0,0
10,1299.83,1233.156,520.092,1592.424,2378.097,2692.489,807.016,1344.592,0,0,0,0,0,0,0
11,1277.235,1224.796,486.296,1517.869,2353.542,2613.326,807.977,1302.151,0,0,0,0,0,0,0
12,1256.702,1210.231,470.246,1487.029,2354.348,2547.198,808.778,1265.5,0,0,0,0,0,0,0
13,1241.89,1190.751,430.748,1440.681,2343.6,2492.03,802.249,1268.875,0,0,0,0,0,0,0
14,1246.947,1178.727,427.016,1420.121,2324.941,2488.347,807.39,1270.767,0,0,0,0,0,0,0
15,1243.327,1172.476,415.184,1428.34,2329.194,2509.305,799.451,1263.362,0,0,0,0,0,0,0
16,1237.785,1182.644,422.023,1475.587,2367.29,2592.332,798.284,1308.481,0,0,0,0,0,0,0
17,1261.747,1207.359,484.902,1564.652,2426.982,2736.619,806.833,1392.558,0,0,0,0,0,0,0
18,1306.64,1242.926,547.621,1686.325,2473.024,2906.636,825.983,1502.356,0,0,0,0,0,0,0
19,1352.63,1269.329,600.019,1753.434,2476.871,2990.718,839.363,1566.608,0,0,0,0,0,0,0
20,1350.221,1277.619,616.047,1776.397,2476.54,3038.313,850.117,1585.374,0,0,0,0,0,0,0
21,1291.213,1227.546,593.691,1711.209,2401.88,2922.622,822.964,1520.007,0,0,0,0,0,0,0
22,1221.305,1152.082,570.665,1624.115,2297.356,2764.537,781.583,1438.783,0,0,0,0,0,0,0
23,1139.276,1058.167,532.905,1514.427,2159.953,2547.342,730.651,1326.487,0,0,0,0,0,0,0
24,1069.725,968.064,489.088,1409.11,2020.58,2351.764,675.218,1217.912,0,0,0,0,0,0,0
1,1080.408,1073.769,511.522,1660.823,2479.463,3277.315,877.72,1546.898,0,0,0,0,0,0,0
2,1040.567,1021.957,493.23,1588.471,2374.784,3077.915,840.356,1463.786,0,0,0,0,0,0,0
3,1013.405,987.667,478.44,1537.696,2303.48,2944.949,809.33,1408.575,0,0,0,0,0,0,0
4,1003.296,968.058,469.988,1501.569,2258.961,2849.177,790.895,1376.628,0,0,0,0,0,0,0
5,997.899,962.378,470.681,1487.768,2233.736,2794.058,781.222,1365.562,0,0,0,0,0,0,0
6,1016.135,982.857,479.841,1497.305,2247.45,2789.065,782.938,1373.348,0,0,0,0,0,0,0
7,1047.123,1006.195,491.479,1524.825,2282.5,2827.625,793.136,1390.657,0,0,0,0,0,0,0
8,1132.383,1067.026,481.731,1575.511,2369.181,2918.729,824.2,1446.256,0,0,0,0,0,0,0
9,1218.22,1158.023,440.579,1655.474,2497.102,3077.858,878.449,1529.023,0,0,0,0,0,0,0
10,1265.104,1231.695,384.261,1719.36,2618.571,3235.734,945.308,1605.865,0,0,0,0,0,0,0
11,1294.809,1280.182,332.555,1741.499,2732.425,3345.699,1021.872,1683.431,0,0,0,0,0,0,0
12,1324.343,1320.645,318.328,1761.831,2844.211,3435.591,1087.467,1780.13,0,0,0,0,0,0,0
13,1347.731,1358.381,310.998,1807.405,2951.035,3602.995,1147.612,1876.659,0,0,0,0,0,0,0
14,1353.498,1391.498,332.405,1872.062,3021.318,3809.275,1195.003,1966.006,0,0,0,0,0,0,0
15,1358.231,1434.078,354.746,1989.624,3092.357,4004.662,1231.231,2036.831,0,0,0,0,0,0,0
16,1382.786,1488.261,407.304,2095.19,3197.363,4193.159,1259.995,2137.928,0,0,0,0,0,0,0
17,1445.575,1550.321,495.366,2178.459,3277.682,4370.603,1275.945,2225.437,0,0,0,0,0,0,0
18,1505.005,1602.795,603.451,2276.409,3340.538,4526.164,1267.28,2289.281,0,0,0,0,0,0,0
19,1503.832,1599.163,697.592,2303.501,3295.433,4484.216,1220.446,2248.32,0,0,0,0,0,0,0
20,1483.785,1571.383,722.139,2288.058,3236.047,4323.468,1163.27,2164.025,0,0,0,0,0,0,0
21,1432.804,1521.429,714.396,2246.68,3172.857,4180.967,1124.004,2077.141,0,0,0,0,0,0,0
22,1333.723,1407.188,679.006,2109.438,3018.678,3901.772,1049.548,1927.149,0,0,0,0,0,0,0
23,1225.568,1290.033,632.049,1946.972,2812.09,3577.91,968.54,1746.805,0,0,0,0,0,0,0
24,1134.651,1183.813,585.257,1792.564,2595.791,3285.203,889.103,1587.818,0,0,0,0,0,0,0
